DK_NAME[시설명],DK_BRIEF_NAME[시설약칭],EVENT_GUBUN[이벤트 분류],EVENT_NAME[이벤트 명],RENT_START_YMD,RENT_END_YMD,DK_DAY,SIN_PERSON,JS_PERSON
핸드볼경기장,핸드볼경기장,문화예술행사,2017 John Legend Live in Seoul (존 레전드 내한공연),2017-11-07,2017-11-09,3,4100,
올림픽홀,올림픽홀,문화예술행사,저작권과 함께하는 페스티벌 - KMPF,2017-11-07,2017-11-12,6,0,3149
올림픽홀,올림픽홀,문화예술행사,저작권과 함께하는 페스티벌 - KMPF,2017-11-07,2017-11-12,6,,
핸드볼경기장,핸드볼경기장,공공행사,소방의날 행사,2017-11-08,2017-11-09,2,4000,
뮤즈라이브,뮤즈라이브,문화예술행사,저작권과 함께하는 KMPF 학술행사,2017-11-08,2017-11-10,3,0,
뮤즈라이브,뮤즈라이브,문화예술행사,저작권과 함께하는 페스티벌 - KMPF,2017-11-08,2017-11-12,4,,
뮤즈라이브,뮤즈라이브,문화예술행사,저작권과 함께하는 페스티벌 - KMPF,2017-11-08,2017-11-12,5,0,
우리금융아트홀,제3체육관,대중공연,이승기 전역기념 팬미팅,2017-11-09,2017-11-11,3,3000,
뮤즈라이브,뮤즈라이브,문화예술행사,치과의사 밴드 연합 음악제,2017-11-11,2017-11-11,1,0,150
피크닉광장,피크닉광장,공공행사,서울자활기업협회 야유회,2017-11-11,2017-11-11,1,30,
K-아트홀,K-아트홀,문화예술행사,2017 지역아동센터 특기적성지원사업 아티스트웨이 <아름다운 하모니 콘서트>,2017-11-11,2017-11-11,1,350,200
핸드볼경기장,핸드볼경기장,체육행사,제9회 KPDC 전국 댄스스포츠 선수권대회,2017-11-11,2017-11-12,2,800,1000
K-아트홀,K-아트홀,문화예술행사,굿파이터즈 자선 스포츠 대회,2017-11-12,2017-11-12,1,400,300
K-아트홀,K-아트홀,순수예술공연,상주단체<로미오와줄리엣>공연,2017-11-13,2017-11-26,14,1400,
K-아트홀,K-아트홀,문화예술행사,상주단체<로미오와줄리엣>공연,2017-11-13,2017-11-26,14,0,1303
핸드볼경기장,핸드볼경기장,체육행사,세계케틀벨리프팅챔피언십대회,2017-11-14,2017-11-19,6,800,1800
우리금융아트홀,제3체육관,대중공연,캐리와장난감친구들,2017-11-14,2017-11-20,7,4000,5654
올림픽홀,올림픽홀,대중공연,빅스 유닛 콘서트,2017-11-15,2017-11-19,5,2500,5400
뮤즈라이브,뮤즈라이브,문화예술행사,KUSF 런앤런 페스티벌,2017-11-18,2017-11-18,1,200,
뮤즈라이브,뮤즈라이브,문화예술행사,대한치과의사협회 밴드 연합 음악제 (치과의사 문화제),2017-11-18,2017-11-18,1,0,
뮤즈라이브,뮤즈라이브,문화예술행사,"왕십리프로젝트 밴드, 더 리사클스 밴드 합동공연",2017-11-18,2017-11-18,1,150,
올림픽홀,올림픽홀,대중공연,황치열 앵콜콘서트 (Birthday party),2017-11-22,2017-11-26,4,5300,
올림픽홀,올림픽홀,대중공연,2017 크러쉬 콘서트,2017-11-22,2017-11-26,4,5300,
올림픽홀,올림픽홀,문화예술행사,행복,2017-11-23,2017-11-25,3,1000,
올림픽홀,올림픽홀,대중공연,2017 컴패션밴드 콘서트 좋아요 콘서트,2017-11-23,2017-11-25,3,4000,
올림픽홀,올림픽홀,대중공연,2017 백지영 콘서트 - 서울,2017-11-23,2017-11-25,3,4500,
올림픽홀,올림픽홀,대중공연,플라이투더스카이 콘서트,2017-11-23,2017-11-26,4,5000,3080
올림픽홀,올림픽홀,대중공연,콘서트 좋은친구들,2017-11-23,2017-11-26,4,5000,
우리금융아트홀,제3체육관,문화예술행사,Heaven in Arts,2017-11-24,2017-11-24,1,1000,
핸드볼경기장,핸드볼경기장,체육행사,2017 제5회 대한펜싱협회장배 전국남녀클럽동호인펜싱선수권대회,2017-11-24,2017-11-27,4,0,920
올림픽홀,올림픽홀,대중공연,임태경 전국투어,2017-11-25,2017-11-26,2,1000,
우리금융아트홀,제3체육관,문화예술행사,송승환의 명작동화 뮤지컬 호두까기인형,2017-11-25,2017-12-31,,57300,27552
뮤즈라이브,뮤즈라이브,문화예술행사,"우리,오랜날_ 배우 김현주 20주년 팬미팅",2017-11-26,2017-11-26,1,237,180
올림픽홀,올림픽홀,대중공연,Eason Chen 내한공연,2017-11-28,2017-11-29,2,3027,
핸드볼경기장,핸드볼경기장,문화예술행사,아시아 매나페스트 2017,2017-11-29,2017-12-02,4,0,2200
한얼광장,한얼광장,문화예술행사,아시아 매나페스트 2017,2017-11-29,2017-12-02,4,0,
K-아트홀,K-아트홀,대중공연,2017 박지윤 데뷔 20주년 기념 콘서트 (가제),2017-11-29,2017-12-02,4,411,801
만남의광장,만남의광장,공공행사,감귤데이 2주년 기념행사,2017-11-30,2017-11-30,1,2000,
올림픽홀,올림픽홀,문화예술행사,2017 이승환 전국투어(가제),2017-11-30,2017-12-03,4,7500,6148
올림픽홀,올림픽홀,문화예술행사,2017 백지영콘서트,2017-11-30,2017-12-03,4,0,
88잔디마당,88잔디마당,문화예술행사,2017 조이올팍 페스티벌 [복사본],2017-12-01,2017-12-01,,10000,
우리금융아트홀 연습실,,문화예술행사,"어린이체험전, [콩알콩알] 12",2017-12-01,2017-12-31,,190,3413
핸드볼보조경기장,핸드볼보조경기장,체육행사,2017년 12월 핸드볼팀 훈련,2017-12-01,2017-12-31,31,,540
뮤즈라이브,뮤즈라이브,문화예술행사,찬란한 청춘의 성장기 &lt;Golden Youth&gt; 정규 앨범 1st 콘서트,2017-12-02,2017-12-02,1,150,
K-아트홀,K-아트홀,순수예술공연,젊은 오광대전,2017-12-03,2017-12-03,1,250,235
올림픽홀,올림픽홀,대중공연,2017 박진영 나쁜파티,2017-12-04,2017-12-10,7,8400,7029
핸드볼경기장,핸드볼경기장,문화예술행사,샤이니 종현 2번째 단독 콘서트,2017-12-04,2017-12-11,8,14000,7415
올림픽홀,올림픽홀,대중공연,2017 터보 연말 콘서트 (가제),2017-12-06,2017-12-10,4,2600,
K-아트홀,K-아트홀,대중공연,2017 혁오 연말 콘서트,2017-12-06,2017-12-31,26,5423,5640
올림픽홀,올림픽홀,대중공연,CBS 창사63주년 기념콘서트 <Thank You>,2017-12-07,2017-12-08,2,2954,
핸드볼경기장,핸드볼경기장,공공행사,2017년 전국보육인대회,2017-12-11,2017-12-11,1,5000,
올림픽홀,올림픽홀,대중공연,CBS 창사63주년 기념   크리스마스 재즈 콘서트,2017-12-11,2017-12-11,1,3000,1800
핸드볼경기장,핸드볼경기장,문화예술행사,프로듀스101 시즌2 TOP11 콘서트,2017-12-11,2017-12-18,8,13000,30305
올림픽홀,올림픽홀,문화예술행사,CBS 창사63주년 기념 콘서트  <Thank You>,2017-12-12,2017-12-13,2,0,
올림픽홀,올림픽홀,문화예술행사,2017 신승훈 콘서트,2017-12-12,2017-12-17,6,7800,7276
핸드볼경기장,핸드볼경기장,문화예술행사,어반자카파 겨울콘서트,2017-12-13,2017-12-17,5,8000,
핸드볼경기장,핸드볼경기장,문화예술행사,서태지 투어 콘서트,2017-12-14,2017-12-18,5,5000,
핸드볼경기장,핸드볼경기장,문화예술행사,존 레전드(John Legend) 내한공연,2017-12-15,2017-12-17,3,4300,
뮤즈라이브,뮤즈라이브,문화예술행사,김규종콘서트,2017-12-16,2017-12-25,10,0,
뮤즈라이브,뮤즈라이브,문화예술행사,김규종콘서트,2017-12-16,2017-12-25,10,0,603
뮤즈라이브,뮤즈라이브,문화예술행사,김규종콘서트,2017-12-16,2017-12-25,10,0,
K-아트홀,K-아트홀,대중공연,"태권도공연""킥스""연습실 대관",2017-12-16,2018-02-25,,100,
핸드볼경기장,핸드볼경기장,문화예술행사,10CM 콘서트 : 겨울편,2017-12-18,2017-12-26,9,12000,
핸드볼경기장,핸드볼경기장,문화예술행사,박정현 겨울 콘서트 'LET IT SNOW',2017-12-18,2017-12-26,9,2200,9419
핸드볼경기장,핸드볼경기장,문화예술행사,2017 바이브 X 포맨 콘서트,2017-12-19,2017-12-25,7,15000,
올림픽홀,올림픽홀,문화예술행사,소녀시대 태연 크리스마스 스페셜 콘서트,2017-12-19,2017-12-25,7,10000,
올림픽홀,올림픽홀,문화예술행사,2017 김연우 크리스마스 콘서트 / 2017 김범수 연말 콘서트,2017-12-19,2017-12-31,13,2760,19305
핸드볼경기장,핸드볼경기장,문화예술행사,2017 케이윌 <케대박 콘서트>,2017-12-20,2017-12-25,6,10000,
올림픽홀,올림픽홀,문화예술행사,"1.컬투 크리스말쇼 , 2. 윤종신콘서트",2017-12-20,2017-12-25,6,18000,
올림픽홀,올림픽홀,문화예술행사,2017 넬 크리스마스 콘서트,2017-12-21,2017-12-24,4,5560,
핸드볼경기장,핸드볼경기장,공공행사,2017년 전국보육인대회,2017-12-26,2017-12-26,1,5000,
올림픽홀,올림픽홀,문화예술행사,2017 박진영 나쁜파티,2017-12-26,2017-12-31,6,8400,
뮤즈라이브,뮤즈라이브,문화예술행사,제6회 Rat A Tat 정기연주회,2017-12-27,2017-12-27,1,150,150
뮤즈라이브,뮤즈라이브,문화예술행사,제6회 Rat A Tat 정기연주회,2017-12-27,2017-12-27,1,150,
핸드볼경기장,핸드볼경기장,문화예술행사,2017 DJ.DOC 콘서트,2017-12-27,2018-01-01,6,3500,3764
뮤즈라이브,뮤즈라이브,문화예술행사,서영은 두 번째 OST 콘서트,2017-12-28,2017-12-31,4,0,466
우리금융아트홀,제3체육관,문화예술행사,송승환의 명작동화 뮤지컬 호두까기인형(기획대관 추가금3차),2018-01-01,2018-01-14,,57300,
우리금융아트홀,제3체육관,문화예술행사,송승환의 명작동화 뮤지컬 호두까기인형(기획대관 추가금),2018-01-01,2018-01-14,,57300,
우리금융아트홀,제3체육관,문화예술행사,송승환의 명작동화 뮤지컬 호두까기인형(기획대관 추가금),2018-01-01,2018-01-14,14,57300,11991
핸드볼보조경기장,핸드볼보조경기장,체육행사,1월 핸드볼팀 훈련,2018-01-01,2018-01-31,26,,600
우리금융아트홀 연습실,,문화예술행사,"어린이체험전, [콩알콩알] 1월",2018-01-01,2018-01-31,,190,3349
뮤즈라이브,뮤즈라이브,문화예술행사,모모랜드 미디어 및 팬쇼케이스,2018-01-03,2018-01-03,1,200,250
올림픽홀,올림픽홀,대중공연,2018 여자친구 콘서트,2018-01-03,2018-01-08,6,7000,5963
K-아트홀,K-아트홀,문화예술행사,(사)대한태권도협회,2018-01-03,2018-02-26,56,21100,10773
뮤즈라이브,뮤즈라이브,문화예술행사,하스스톤 KOREA 인비테이셔널 2017,2018-01-05,2018-01-06,2,150,70
88호수수변무대,88호수,문화예술행사,제12회 서울재즈페스티벌(Seoul Jazz Festival) 2018 [복사본],2018-01-09,2018-01-09,,23000,
핸드볼경기장,핸드볼경기장,문화예술행사,2018 에이핑크(Apink) 콘서트,2018-01-09,2018-01-13,5,9000,6070
올림픽홀,올림픽홀,문화예술행사,2018 크러쉬 단독 콘서트,2018-01-10,2018-01-15,6,6300,
올림픽홀,올림픽홀,문화예술행사,2018 10CM 콘서트,2018-01-11,2018-01-14,4,6000,4005
올림픽홀,올림픽홀,문화예술행사,평창동계올림픽성공기원 UN평화 자선콘서트,2018-01-16,2018-01-16,1,1500,
우리금융아트홀,제3체육관,문화예술행사,최현우 매직콘서트,2018-01-16,2018-02-19,35,20000,
우리금융아트홀,제3체육관,대중공연,어린이뮤지컬 <신비아파트> 앵콜공연,2018-01-16,2018-02-25,41,80000,41362
올림픽홀,올림픽홀,문화예술행사,2018 여자친구 콘서트,2018-01-17,2018-01-21,5,7000,
올림픽홀,올림픽홀,문화예술행사,2018 정용화 단독 콘서트,2018-01-18,2018-01-21,4,3000,4540
핸드볼경기장,핸드볼경기장,문화예술행사,2018 KIM JAE JOONG J-PARTY (가제),2018-01-25,2018-01-28,4,3000,2281
올림픽홀,올림픽홀,문화예술행사,2018 박원 콘서트,2018-01-25,2018-01-28,4,2800,2435
핸드볼경기장,핸드볼경기장,문화예술행사,2018중국문화대축제,2018-01-30,2018-02-06,8,30000,
핸드볼경기장,핸드볼경기장,문화예술행사,원오크록(ONE OK ROCK) 내한공연,2018-01-31,2018-02-03,4,5800,2884
올림픽홀,올림픽홀,문화예술행사,2018 JBJ 단독 콘서트,2018-01-31,2018-02-05,6,6400,6630
올림픽홀,올림픽홀,문화예술행사,One Ok Rock,2018-02-01,2018-02-02,2,3500,
우리금융아트홀 연습실,,문화예술행사,"어린이체험전, [콩알콩알] 2월",2018-02-01,2018-02-28,,190,2315
핸드볼보조경기장,핸드볼보조경기장,체육행사,2018년 2월 핸드볼팀 훈련,2018-02-01,2018-02-28,28,500,410
핸드볼경기장,핸드볼경기장,문화예술행사,TMT Show 2018,2018-02-02,2018-02-03,2,3000,
핸드볼경기장,핸드볼경기장,문화예술행사,2018중국문화대축제,2018-02-04,2018-02-09,6,15000,
올림픽홀,올림픽홀,문화예술행사,2018 미스 슈퍼 뷰티니스 월드챔피언쉽,2018-02-07,2018-02-07,1,2000,
올림픽홀,올림픽홀,문화예술행사,2017 백지영 콘서트 - 서울,2018-02-09,2018-02-10,2,5600,3788
핸드볼경기장,핸드볼경기장,문화예술행사,THE XX(더 엑스엑스) LIVE IN SEOUL,2018-02-11,2018-02-14,4,4000,1957
올림픽홀,올림픽홀,대중공연,토토가3,2018-02-12,2018-02-16,5,3000,2450
핸드볼경기장,핸드볼경기장,문화예술행사,Rise For NEPAL Concert,2018-02-15,2018-02-16,2,2000,
올림픽홀,올림픽홀,문화예술행사,RISE FOR NEPAL Concert,2018-02-16,2018-02-16,1,2000,
올림픽홀,올림픽홀,문화예술행사,2018 Good News Corps Festival,2018-02-17,2018-02-18,2,3000,3040
뮤즈라이브,뮤즈라이브,문화예술행사,굿뉴스코 페스티벌,2018-02-18,2018-02-18,1,0,160
핸드볼경기장,핸드볼경기장,문화예술행사,Youtbe Fanfest (유튜브 팬페스트),2018-02-19,2018-02-25,7,3000,3250
핸드볼경기장,핸드볼경기장,문화예술행사,Youtube FanFest (부제:뮤직&amp;라이브 페스티벌),2018-02-19,2018-02-25,7,3000,
뮤즈라이브,뮤즈라이브,문화예술행사,EBS 스페이스 공감,2018-02-21,2018-02-22,1,200,155
올림픽홀,올림픽홀,문화예술행사,Youtube FanFest (부제 : 뮤직 & 라이브 페스티벌),2018-02-22,2018-02-26,5,3000,
올림픽홀,올림픽홀,문화예술행사,Youtube FanFest (부제:뮤직&amp;라이브 페스티벌),2018-02-22,2018-02-26,5,3000,
올림픽홀,올림픽홀,대중공연,Youtube Fanfest,2018-02-22,2018-02-26,5,3000,1404
뮤즈라이브,뮤즈라이브,문화예술행사,페이브 연습생 팬미팅,2018-02-24,2018-02-24,1,200,
뮤즈라이브,뮤즈라이브,문화예술행사,벅스TV vol.36 - 테이크,2018-02-28,2018-02-28,1,240,130
핸드볼경기장,핸드볼경기장,문화예술행사,2018 B1A4 콘서트,2018-02-28,2018-03-04,5,9000,
올림픽홀,올림픽홀,문화예술행사,EVERY DAY6 Concert Final (가제),2018-02-28,2018-03-05,6,3000,5328
평화의광장,평화의광장,공공행사,2018 평창 동계패럴림픽대회 합화 행사,2018-03-01,2018-03-04,4,1000,
K-아트홀,K-아트홀,문화예술행사,e-스포츠 오버워치 컨텐더스 리그,2018-03-01,2018-03-09,9,0,
핸드볼보조경기장,핸드볼보조경기장,체육행사,2018년 3월 핸드볼팀 훈련,2018-03-01,2018-03-31,31,,510
우리금융아트홀,제3체육관,대중공연,2018 홍진영 콘서트,2018-03-02,2018-03-03,2,1000,
올림픽홀,올림픽홀,대중공연,은지원 PRIVATE STAGE 2018 [In Between] (가제),2018-03-06,2018-03-10,5,3500,3190
핸드볼경기장,핸드볼경기장,문화예술행사,FIFTH HARMONY ASIA TOUR,2018-03-08,2018-03-11,4,4000,
우리금융아트홀,제3체육관,대중공연,2018 최백호 콘서트,2018-03-09,2018-03-10,2,1000,1186
뮤즈라이브,뮤즈라이브,문화예술행사,류세라 콘서트 봄b,2018-03-09,2018-03-10,1,180,350
우리금융아트홀,제3체육관,대중공연,김용임&진성 SHOW - 오늘이 젊은날·보릿고개,2018-03-11,2018-03-11,1,1000,1351
올림픽홀,올림픽홀,대중공연,iKON 2018 PRIVATE STAGE [MY KiND](가제),2018-03-11,2018-03-12,2,3500,2920
핸드볼경기장,핸드볼경기장,문화예술행사,2018 뉴이스트W 단독콘서트,2018-03-13,2018-03-19,6,4500,15847
우리금융아트홀,제3체육관,대중공연,2018 팬텀보이스 화이트데이 콘서트,2018-03-14,2018-03-14,1,900,
올림픽홀,올림픽홀,대중공연,2018 존레전드 내한공연,2018-03-14,2018-03-16,3,2700,4190
K-아트홀,K-아트홀,문화예술행사,e-스포츠 오버워치 컨텐더스 리그전,2018-03-15,2018-04-22,39,493,4242
우리금융아트홀,제3체육관,대중공연,오페라 성냥소녀,2018-03-16,2018-03-17,2,800,688
올림픽홀,올림픽홀,대중공연,인순이 데뷔 40주년 기념 전국투어 콘서트 - 서울,2018-03-16,2018-03-17,2,2300,
올림픽홀,올림픽홀,문화예술행사,Stray Kids 1stAlbum Event (가제),2018-03-16,2018-03-18,3,3000,
평화의광장,평화의광장,공공행사,서울국제마라톤 겸 제89회 동아마라톤,2018-03-17,2018-03-18,2,10000,10000
핸드볼경기장,핸드볼경기장,문화예술행사,SHINHWA？20years Anniversary FANMEETING   ‘THE REAL STORY’  (가제),2018-03-20,2018-03-26,7,3500,10234
올림픽홀,올림픽홀,문화예술행사,2018 나훈아 드림콘서트,2018-03-20,2018-03-26,7,3000,8421
뮤즈라이브,뮤즈라이브,문화예술행사,2018년 문화가있는날 청춘마이크 청년예술가 발대식 및 워크숍,2018-03-22,2018-03-22,1,200,100
우리금융아트홀,제3체육관,문화예술행사,오페라 <하늘과 바람과 별과 시>,2018-03-23,2018-03-24,2,800,
우리금융아트홀,제3체육관,대중공연,The Three Singers,2018-03-23,2018-03-24,2,1200,684
핸드볼보조경기장,핸드볼보조경기장,체육행사,2018 서울SK텔레콤 국제 그랑프리대회,2018-03-28,2018-04-02,6,800,
핸드볼경기장,핸드볼경기장,체육행사,2018 서울SK텔레콤 국제 그랑프리대회,2018-03-28,2018-04-02,6,800,1200
올림픽홀,올림픽홀,대중공연,인순이 데뷔 40주년 기념 전국투어 콘서트 - 서울,2018-03-29,2018-03-31,3,2300,1690
뮤즈라이브,뮤즈라이브,문화예술행사,홍경민 9th 톡서트,2018-03-29,2018-04-01,4,792,668
우리금융아트홀,제3체육관,문화예술행사,코코몽 뮤지컬 <꼼짝마 바이러스>,2018-03-30,2018-04-01,3,3550,1631
핸드볼보조경기장,핸드볼보조경기장,체육행사,2018년 4월 국내팀 훈련,2018-04-01,2018-04-30,,,440
우리금융아트홀,제3체육관,대중공연,2018 넬 콘서트,2018-04-03,2018-04-15,13,5000,5362
올림픽홀,올림픽홀,대중공연,이준기 팬미팅,2018-04-06,2018-04-07,2,3000,1366
핸드볼경기장,핸드볼경기장,체육행사,2018 피셔 잠스트 배드민턴코리아 슈퍼토너먼트,2018-04-06,2018-04-08,3,0,650
핸드볼경기장,핸드볼경기장,체육행사,강남구청장배배드민턴대회,2018-04-08,2018-04-08,1,0,
우리금융아트홀 연습실,,문화예술행사,"어린이체험전, [하이스토리] 추가금",2018-04-12,2018-04-12,,190,
촬영,촬영,문화예술행사,바이럴광고촬영,2018-04-13,2018-04-13,1,10,
올림픽홀,올림픽홀,대중공연,이준기 팬미팅,2018-04-13,2018-04-14,2,2400,
올림픽홀,올림픽홀,대중공연,2018 유선호 팬미팅 (가제),2018-04-13,2018-04-15,3,2200,1050
핸드볼경기장,핸드볼경기장,체육행사,강동구청배 배드민턴대회,2018-04-14,2018-04-14,1,0,1000
핸드볼보조경기장,핸드볼보조경기장,체육행사,제28회 송파구청장기 배드민턴대회,2018-04-15,2018-04-15,1,1450,
핸드볼경기장,핸드볼경기장,체육행사,제28회 송파구청장기 배드민턴대회,2018-04-15,2018-04-15,1,1450,1000
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 캐리와 장난감 친구들,2018-04-16,2018-05-27,42,30000,10845
핸드볼경기장,핸드볼경기장,문화예술행사,2018 JBJ 앵콜 콘서트,2018-04-17,2018-04-23,7,9000,7449
핸드볼경기장,핸드볼경기장,문화예술행사,2018 몬스타엑스 콘서트,2018-04-19,2018-04-22,4,3500,
핸드볼경기장,핸드볼경기장,문화예술행사,THE 17th K-BEAUTY WORLD FESTIVAL,2018-04-20,2018-04-21,2,1000,
핸드볼경기장,핸드볼경기장,문화예술행사,민족화합 평화통일기원 태고팔관대재,2018-04-24,2018-04-25,2,4000,
올림픽홀,올림픽홀,대중공연,OneRepublic(원리퍼블릭) 내한공연,2018-04-26,2018-04-28,3,4200,3770
K-아트홀,K-아트홀,대중공연,벅스 스페셜 라이브 vol.37 - 에릭남,2018-04-27,2018-04-27,1,300,
핸드볼경기장,핸드볼경기장,체육행사,제15회 회장배 전국댄스스포츠 선수권 대회,2018-04-27,2018-04-30,4,1000,600
뮤즈라이브,뮤즈라이브,문화예술행사,2018 아이돌 COLOR 콘서트,2018-04-27,2018-05-27,31,200,
피크닉광장,피크닉광장,공공행사,2018년 도담어린이집운동회,2018-05-01,2018-05-01,1,150,
핸드볼보조경기장,핸드볼보조경기장,체육행사,2018년 5월 핸드볼팀 훈련,2018-05-01,2018-05-31,,600,440
올림픽홀,올림픽홀,대중공연,다비치 10주년 기념 콘서트,2018-05-03,2018-05-07,5,5000,3260
